site,grid,vrm_1cm,height_diff,mean_curv,mean_pro_curv,mean_plan_curv,vrm_dev
GR,59,0.078261344,2.847744942,-0.023289713,-3.760338693,-3.783720301,0.002591334
GR,60,0.051852101,1.277709007,0.096802859,-0.348242078,-0.251437764,0.019615693
GR,61,0.068519253,1.751506805,0.012929296,-8.25126948,-8.238468131,-0.005351669
GR,62,0.10508146,1.770494461,-0.097237758,-12.21905676,-12.31629452,-0.015906118
GR,63,0.082616169,2.114864349,-0.105337189,-9.459050221,-9.563508961,0.016153366
GR,64,0.111109958,2.50069809,-0.133291395,2.742527329,2.609654697,0.027644935
GR,65,0.077413863,2.483302116,0.035276328,-4.173384652,-4.132696112,0.009972851
GR,66,0.060522721,1.36724472,-0.036490126,-0.396203507,-0.430053266,0.022459226
GR,67,0.065540485,1.920248032,-0.180713238,-6.778494689,-6.959458079,-0.002437448
GR,68,0.11576394,1.997340202,-0.470763526,-15.02382946,-15.49610021,-0.00413804
GR,69,0.079836094,1.790923119,0.06227918,-8.944174167,-8.881915192,0.012528033
GR,70,0.096877953,2.428386688,-0.085952151,-9.877448272,-9.964094173,0.016544587
GR,71,0.117812018,2.555996895,-0.081012577,-44.38576647,-44.46804357,0.014266129
GR,72,0.060140964,1.361385345,-0.238148815,-5.556961962,-5.794742087,0.007696936
GR,73,0.103742763,1.74898243,-0.358416474,-16.15112343,-16.52959827,-0.010726271
GR,74,0.120448265,2.303640366,0.04700043,-13.50511803,-13.45688938,-0.003391005
GR,75,0.087912933,2.881391525,0.171273023,-7.808004961,-7.637663432,0.019794194
GR,76,0.089850411,1.915349007,0.000692348,-9.053679592,-9.052882981,0.012639854
GR,77,0.067725608,1.368673325,0.080852791,-7.746298894,-7.665446103,0.010657583
GR,78,0.061601311,1.516861916,-0.045953876,-4.223879304,-4.270395753,0.016458329
GR,79,0.085268076,1.990854263,-0.370303198,1.249371372,0.877504447,0.0046351
GR,80,0.095883629,2.42497921,-0.242243229,1.536694533,1.294451304,0.01057027
GR,81,0.097433795,3.899349213,0.14301195,-4.481765599,-4.339004207,0.024519578
GR,82,0.067396385,1.836144447,0.195736768,-4.896262374,-4.700501069,0.013517536
GR,83,0.080429516,1.886773109,-0.216928686,-8.100304395,-8.317241647,0.020410949
